Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column10,,,,,,,,,,,,,,,,,,,,
The nanocrystal technology may be a gimmick but the picture tells a different story.,Sentiment,0.627550043,Product,0.344109929,Comparison,0.01485243,product,1,The nanocrystal technology may be a gimmick but the picture tells a different story.,Sentiment,0.945054354,Product,0.031014453,Other,0.012462639,Comparison,0.011468554,,The nanocrystal technology may be a gimmick but the <Feature> a different story.,Sentiment,0.721525722,Other,0.247856507,Product,0.026440266,Comparison,0.004177505,1
I also need to give a couple major kudos to Amazon.,Other,1,Sentiment,0,Product,0,other,1,I also need to give a couple major kudos to Amazon.,Other,1,Sentiment,0,Product,0,Comparison,0,,options available.,Other,0.840633817,Product,0.104190048,Sentiment,0.045339053,Comparison,0.009837082,0
"First, they double boxed the shipment which is a service that some places charge $30-75 for and others don't even offer.",Other,1,Sentiment,0,Product,0,other,1,"First, they double boxed the shipment which is a service that some places charge $30-75 for and others don't even offer.",Other,1,Sentiment,0,Product,0,Comparison,0,,<Consumer> also need to give a couple major kudos to <Company>.,Other,0.967452954,Sentiment,0.018220466,Product,0.010576902,Comparison,0.003749679,0
"And second, they took care of me when Samsung not only extended the original sale past 6/13, but then included a free soundbar or 24"" TV with every purchase.",Other,0.991708835,Sentiment,0.0054031,Product,0.001676737,other,1,"And second, they took care of me when <Company> not only extended the original sale past 6/13, but then included a free soundbar or 24"" <Product> with every purchase.",Other,0.992732467,Sentiment,0.004097988,Product,0.00204122,Comparison,0.001128325,,"First, they double boxed the shipment which is a service that some places charge <Price> for and others don't even offer.",Other,0.988674419,Product,0.005189281,Sentiment,0.003830998,Comparison,0.002305302,1
"Not a large topic, but just note that the 48"" model (at least at the moment) does not have Enhanced Delivery.",Product,0.772972315,Other,0.147348787,Sentiment,0.05493873,other,1,"Not a large topic, but just note that the 48"" model (at least at the moment) does not have Enhanced Delivery.",Product,0.862035429,Other,0.085765875,Sentiment,0.032345041,Comparison,0.019853654,,"And <Descriptor>, they took care of <Consumer> when <Company> not only extended the original sale past 6/13, but then included a free soundbar or 24"" <Product> with every purchase.",Other,0.992422253,Product,0.003984726,Sentiment,0.002392538,Comparison,0.001200483,1
"That means that it is delivered by UPS (in my case, or some other parcel company) and not by a crew that will set it up for you.",Sentiment,0.956130728,Product,0.02446408,Other,0.01565153,other,0,"That means that it is delivered by UPS (in my case, or some other parcel company) and not by a crew that will set it up for you.",Sentiment,0.622040035,Product,0.357655897,Other,0.013052278,Comparison,0.00725179,,"Not a <Feature>, but just note that the 48"" model (at least at the moment) does not have Enhanced Delivery.",Product,0.891063507,Sentiment,0.05479096,Other,0.033573349,Comparison,0.020572184,1
"It isn't enormously heavy with the panel probably weighing roughly 40 pounds, and I was able to lift it out of the box by myself without too much effort.",Product,0.638406403,Sentiment,0.340208836,Comparison,0.013877944,product,0,"It isn't enormously heavy with the panel probably weighing roughly 40 pounds, and I was able to lift it out of the box by myself without too much effort.",Sentiment,0.803469175,Product,0.180506648,Comparison,0.009385262,Other,0.006638915,,"That means that it is delivered by <Company> (in my case, or some other parcel company) and not by a crew that will set it up for you.",Sentiment,0.595660492,Product,0.381840815,Other,0.014460921,Comparison,0.008037773,0
"So, if you get the 48"" version, you (or you and your friends) are going to have to unpack it, get it on the stand, and set it up.",Sentiment,0.991063712,Other,0.004257338,Product,0.00343822,other,1,"So, if you get the 48"" version, you (or you and your friends) are going to have to unpack it, get it on the stand, and set it up.",Sentiment,0.951784212,Product,0.038621584,Other,0.006301367,Comparison,0.003292837,,"it isn't enormously heavy with the panel probably weighing roughly 40 pounds, and I was able to lift it out of the box by myself without too much effort.",Product,0.884171563,Sentiment,0.101661471,Comparison,0.008432819,Other,0.005734148,1
"If you want it set up for you, consider a larger model if buying from Amazon or local delivery from a store that will bring it to your place and set it up.",Sentiment,0.637960049,Other,0.309479971,Product,0.041868229,other,0,"If you want it set up for you, consider a <Descriptor> <Product> if buying from <Company> or local delivery from a store that will bring it to your place and set it up.",Product,0.786869745,Sentiment,0.163085283,Other,0.033800778,Comparison,0.016244194,,"So, if you get the 48"" version, you (or you and your friends) are going to have to unpack it, get it on the stand, and set it up.",Sentiment,0.94751909,Product,0.04231945,Other,0.006634028,Comparison,0.003527432,0
Two more things about having it just delivered and dropped off.,Sentiment,0.702739835,Other,0.264077044,Product,0.020209411,other,1,Two more things about having it just delivered and dropped off.,Sentiment,0.74438947,Other,0.221939106,Product,0.023509246,Comparison,0.010162179,,"If you want it set up for you, consider a <Descriptor> <Product> if buying from <Company> or local delivery from a store that will bring it to your place and set it up.",Product,0.622735624,Sentiment,0.358199725,Other,0.010099052,Comparison,0.008965599,0
"First, it is shipped in the original box.",Product,0.703864544,Sentiment,0.261809817,Other,0.024036819,other,1,"First, it is shipped in the original box.",Product,0.749798867,Sentiment,0.221663771,Other,0.020032489,Comparison,0.008504873,,Two more things about having <Product> just delivered and dropped off.,Sentiment,0.972040755,Other,0.015002087,Product,0.008654283,Comparison,0.004302875,0
"So, if you have a signature waiver on file with the company delivering it, anyone going by your place will be able to easily see what it is if you aren't home when it is delivered.",Sentiment,0.975893549,Other,0.013808266,Product,0.007547461,other,0,"So, if you have a signature waiver on file with the company delivering it, anyone going by your place will be able to easily see what it is if you aren't home when it is delivered.",Sentiment,0.98672131,Other,0.005815949,Product,0.005766657,Comparison,0.001696084,,"First, it is shipped in the original box.",Product,0.980026232,Sentiment,0.011802179,Other,0.00578974,Comparison,0.002381849,0
"Second, if it is defective, you'll need to schedule to have it picked back up some other day.",Sentiment,0.965230444,Other,0.016539838,Product,0.013806097,other,0,"Second, if it is defective, you'll need to schedule to have it picked back up some other day.",Sentiment,0.987226059,Other,0.007086204,Product,0.003727252,Comparison,0.001960486,,"So, if you have a signature waiver on file with the company delivering it, anyone going by your place will be able to easily see what it is if you aren't home when it is delivered.",Sentiment,0.988340228,Other,0.005342691,Product,0.004770273,Comparison,0.001546808,0
"With Enhanced Delivery, the crew will unpack it, inspect it, set it up, and make sure it works - if there's any problems, they'll pack it back up and take it away right then and there.",Product,0.801947835,Sentiment,0.161569781,Other,0.02710759,other,0,"With Enhanced Delivery, the crew will unpack it, inspect it, set it up, and make sure it works - if there's any problems, they'll pack it back up and take it away right then and there.",Product,0.982594744,Sentiment,0.010540487,Other,0.004698375,Comparison,0.002166395,,"Second, if it is defective, you'll need to schedule to have it picked back up some other day.",Sentiment,0.985814336,Other,0.006476064,Product,0.005867504,Comparison,0.001842096,0
"If UPS delivers it, they'll be long gone before you get it out of the box.",Product,0.631044459,Sentiment,0.326329647,Other,0.032187889,other,0,"If UPS delivers it, they'll be long gone before you get it out of the box.",Product,0.650327054,Sentiment,0.262474437,Other,0.071961007,Comparison,0.015237503,,"With Enhanced Delivery, the crew will unpack it, inspect it, set it up, and make sure it works - if there's any problems, they'll pack it back up and take it away right then and there.",Product,0.770523222,Sentiment,0.201265724,Other,0.019326363,Comparison,0.00888469,0
Broken TVs happen (two of my past five delivered from Amazon have been).,Other,0.855681878,Sentiment,0.102159516,Product,0.034060895,other,0,Broken TVs happen (two of my past five delivered from Amazon have been).,Other,0.793034968,Sentiment,0.184832156,Product,0.012897159,Comparison,0.009235718,,"If UPS delivers it, they'll be long gone before you get it out of the box.",Product,0.614902131,Sentiment,0.287818429,Other,0.077656564,Comparison,0.019622876,0
"Overall, the hardware is designed more for a dark room than it is for rooms with windows, lamps, and other sources of ambient lighting.",Product,0.99197757,Comparison,0.004055581,Sentiment,0.002036521,product,1,"Overall, the hardware is designed more for a dark room than it is for rooms with windows, lamps, and other sources of ambient lighting.",Product,0.992484463,Sentiment,0.00434218,Comparison,0.001839897,Other,0.001333459,,Broken TVs happen (two of my past five delivered from <Company> have been).,Sentiment,0.985945194,Other,0.007364832,Product,0.003501323,Comparison,0.003188651,0
"It does have some very nice aspects, though, such as being thin and having a nice layout for the connections on the back.",Product,0.976403309,Other,0.012791042,Comparison,0.005594391,product,1,"It does have some very nice aspects, though, such as being thin and having a nice layout for the connections on the back.",Product,0.977459529,Other,0.012579772,Comparison,0.005170727,Sentiment,0.004789972,,"Overall, the <Feature> is designed more for a dark room than it is for rooms with windows, lamps, and other sources of ambient lighting.",Product,0.992086342,Sentiment,0.004584093,Comparison,0.002122932,Other,0.001206633,1
"I think that the shiny bezel is distracting, and I wish that the power/navigation button on the back was more conveniently located.",Product,0.706130755,Sentiment,0.272011751,Comparison,0.014142494,product,1,"I think that the shiny bezel is distracting, and I wish that the <Feature> on the back was more <Descriptor>.",Product,0.947006455,Sentiment,0.03549573,Comparison,0.013019695,Other,0.004478121,,"It does have some very nice aspects, though, such as being thin and having a nice layout for the connections on the back.",Product,0.974700504,Other,0.01493285,Comparison,0.006159573,Sentiment,0.004207073,1
"I contacted Samsung about the issues to see how they'd handle it, sent them photos of the misshapen parts, and I was very clear that it was from Vine and that I didn't expect a new TV.",Sentiment,0.661115427,Product,0.308979505,Comparison,0.015286554,product,1,"I contacted Samsung about the issues to see how they'd handle it, sent them photos of the misshapen parts, and I was very clear that it was from Vine and that I didn't expect a <Descriptor> <Product>.",Sentiment,0.927061431,Product,0.062427904,Comparison,0.005650797,Other,0.004859869,,"<Consumer> think that the shiny bezel is distracting, and <Consumer> wish that the <Feature> on the back was more <Descriptor>.",Product,0.949028824,Sentiment,0.028293581,Comparison,0.018483878,Other,0.004193717,0
"The response was pretty much a canned response that seemed typical of if the customer mentions X anywhere, push this button.",Product,0.939585599,Sentiment,0.042382636,Other,0.013481133,product,1,"The <Feature> was <Descriptor> response that seemed typical of if the customer mentions X anywhere, push this button.",Product,0.990353853,Sentiment,0.005330113,Other,0.002440474,Comparison,0.00187556,,"<Consumer> contacted <Company> about the issues to see how they'd handle it, sent them photos of the misshapen parts, and <Consumer> was very clear that it was from Vine and that <Consumer> didn't expect a <Descriptor> <Product>.",Product,0.939688717,Sentiment,0.050557921,Other,0.005635843,Comparison,0.004117519,1
I firmly believe that you'd get the same response because it had absolutely nothing to do Vine.,Sentiment,0.810401159,Other,0.163564925,Product,0.013776949,product,1,I firmly believe that you'd get the same response because it had absolutely nothing to do Vine.,Sentiment,0.506616222,Other,0.406290411,Product,0.063360954,Comparison,0.023732413,,"The <Feature> was <Descriptor> response that seemed typical of if the <Feature> X anywhere, push this button.",Product,0.988888287,Other,0.004802555,Sentiment,0.004539493,Comparison,0.001769665,1
"Here's what you need to know - their warranty doesn't cover concealed damage that might have occurred in shipping, which is what they call it if the TV is defective but the box looks fine.",Product,0.992633238,Sentiment,0.00389316,Comparison,0.001897846,product,0,"Here's what you need to know - their warranty doesn't cover concealed damage that might have occurred in shipping, which is what they call it if the TV is defective but the <Feature> looks <Descriptor>.",Product,0.994687202,Other,0.002261476,Comparison,0.001934245,Sentiment,0.001117077,,<Consumer> firmly believe that you'd get the same response because it had absolutely nothing to do Vine.,Sentiment,0.682260766,Other,0.283633694,Comparison,0.017578787,Product,0.016526753,1
"Amazon will make it right without question, so to me, it comes down to how much hassle it is to physically get it returned.",Other,0.990710901,Sentiment,0.004258965,Product,0.003773949,other,1,"Amazon will make it right without question, so to me, it comes down to how much hassle it is to physically get it returned.",Other,0.967546881,Product,0.020090455,Sentiment,0.009574463,Comparison,0.0027882,,"Here's what you need to know - their warranty doesn't cover concealed damage that might have occurred in shipping, which is what they call it if the <Product> is defective but the <Feature> looks <Descriptor>.",Product,0.994475493,Other,0.002335049,Comparison,0.002007167,Sentiment,0.001182291,0
They recommend working it out with the store or shipping company.,Sentiment,0.981732703,Product,0.009376407,Other,0.006315667,other,1,They recommend working it out with the store or shipping company.,Sentiment,0.983818701,Product,0.011263348,Other,0.002888141,Comparison,0.00202981,,"<Company> will make it right without question, so to <Consumer>, it comes down to how much hassle it is to physically get it returned.",Other,0.98558086,Sentiment,0.006712606,Product,0.005654581,Comparison,0.002051954,0
"Reasonable on the face of it, perhaps, but I doubt UPS is going to compensate someone for a defective TV when the shipping box looks fine.",Sentiment,0.946187934,Product,0.039709739,Other,0.009165751,other,0,"Reasonable on the face of it, perhaps, but I doubt UPS is going to compensate someone for a <Descriptor> <Product> when the shipping box looks fine.",Product,0.723315221,Sentiment,0.257566191,Other,0.010319244,Comparison,0.008799344,,<Product> recommend working it out with the store or shipping company.,Sentiment,0.970124746,Product,0.022327952,Other,0.004431226,Comparison,0.003116076,1
That sounds like a nightmare trying to prove they did anything wrong.,Sentiment,0.981116048,Other,0.009000133,Product,0.007399135,other,0,That sounds like a nightmare trying to prove they did anything wrong.,Sentiment,0.981085703,Other,0.01309129,Product,0.003095611,Comparison,0.002727397,,"<Feature> of it, perhaps, but <Consumer> doubt UPS is going to compensate someone for a <Descriptor> <Product> when the shipping box looks <Descriptor>.",Product,0.962779652,Sentiment,0.025855474,Other,0.006697718,Comparison,0.004667155,0
"If I had purchased this from Amazon, I would simply ship it back and maybe ask for a replacement.",Other,0.868580307,Product,0.099400288,Sentiment,0.023937369,other,0,"If I had purchased this from Amazon, I would simply ship it back and maybe ask for a replacement.",Other,0.934397675,Product,0.036695895,Sentiment,0.02369729,Comparison,0.00520914,,That <Feature> like a nightmare trying to prove they did anything wrong.,Sentiment,0.983834606,Other,0.008657699,Product,0.005027656,Comparison,0.002480039,1
"No fuss, no muss.",Other,0.923577973,Product,0.046425174,Sentiment,0.023439696,other,1,Amazon is awesome in customer service.,Other,0.75770583,Product,0.218714436,Sentiment,0.015091222,Comparison,0.008488511,," <Consumer> had purchased this from <Company>, <Consumer> would simply ship it back and maybe ask for a replacement.",Sentiment,0.55680302,Other,0.213398362,Product,0.21239835,Comparison,0.017400268,0
Amazon is awesome in customer service.,Other,0.790389389,Product,0.189923333,Comparison,0.010526442,other,1,"If you're buying this from a third party, this is just something more to think about because they might also claim that it happened in shipping and isn't their responsibility.",Sentiment,0.780829992,Product,0.196598301,Comparison,0.012059959,Other,0.010511747,,"No fuss, no muss.",Other,0.908063909,Product,0.067823816,Sentiment,0.017396895,Comparison,0.00671538,0
"If you're buying this from a third party, this is just something more to think about because they might also claim that it happened in shipping and isn't their responsibility.",Sentiment,0.742077716,Product,0.232729232,Other,0.016070311,other,1,"So, please consider that if you decide to buy.",Other,0.94573717,Product,0.029587085,Sentiment,0.019625686,Comparison,0.005050058,,<Company> is <Descriptor> in <Customer_Service>.,Product,0.968510657,Sentiment,0.014572081,Comparison,0.009944991,Other,0.006972271,0
"So, please consider that if you decide to buy.",Other,0.951283333,Product,0.023310368,Sentiment,0.020357421,other,0,"Also consider this - Samsung was actually the store that provided this TV, but they still don't consider it something they need to deal with.",Sentiment,0.767170076,Other,0.148422091,Product,0.060084399,Comparison,0.024323434,,"If you're buying this from a <Descriptor> party, this is just something more to think about because they might also claim that it happened in shipping and isn't their responsibility.",Sentiment,0.6125797,Product,0.349800279,Other,0.019160654,Comparison,0.018459366,1
"Also consider this - Samsung was actually the store that provided this TV, but they still don't consider it something they need to deal with.",Product,0.728739442,Sentiment,0.171509608,Other,0.063484547,product,1,"I followed up on that original response, made it clear that I understood the warranty limitations, and I got essentially the same response back again.",Sentiment,0.944570766,Other,0.043024016,Product,0.008566457,Comparison,0.00383876,,"So, please consider that if you decide to buy.",Other,0.941996294,Sentiment,0.040009328,Product,0.010149835,Comparison,0.007844544,0
"I followed up on that original response, made it clear that I understood the warranty limitations, and I got essentially the same response back again.",Sentiment,0.828987442,Other,0.103552568,Product,0.057728864,product,1,Push this button.,Other,0.837428855,Sentiment,0.089322159,Product,0.061051155,Comparison,0.012197831,,"Also consider this - <Company> was actually the store that provided this <Product>, but they still don't consider it something they need to deal with.",Sentiment,0.70761393,Other,0.156707299,Product,0.121106651,Comparison,0.01457212,1
Push this button.,Other,0.721600762,Product,0.148683257,Sentiment,0.112105242,other,0,Plenty of connectivity.,Product,0.982837353,Sentiment,0.008648104,Other,0.005864542,Comparison,0.002650001,,"<Consumer> followed up on that original response, made it clear that <Consumer> understood the <Feature>, and <Consumer> got essentially the same response back again.",Sentiment,0.921960604,Other,0.060563463,Product,0.012271787,Comparison,0.005204147,0
Plenty of connectivity.,Product,0.941927649,Sentiment,0.037520549,Other,0.014460377,product,1,"Most connections are not on the TV itself, they are located on the mini connect box.",Product,0.993164647,Sentiment,0.003477055,Other,0.002248607,Comparison,0.001109691,,Push this button.,Sentiment,0.389820331,Other,0.317672256,Product,0.25887737,Comparison,0.033630043,0
"Most connections are not on the TV itself, they are located on the mini connect box.",Product,0.970614928,Sentiment,0.020610562,Other,0.004983845,product,1,"Very convenient, but I wish there was at least one HDMI on the TV itself.",Sentiment,0.891605123,Product,0.094632763,Other,0.008040843,Comparison,0.005721272,,Plenty of connectivity.,Product,0.982856568,Sentiment,0.008605245,Other,0.005897262,Comparison,0.002640925,0
"Very convenient, but I wish there was at least one HDMI on the TV itself.",Product,0.633052569,Sentiment,0.344858205,Comparison,0.012893841,product,1,,,,,,,,,,,"Most connections are not on the <Product> itself, they are located on the mini connect box.",Product,0.992583001,Other,0.00423801,Sentiment,0.002007287,Comparison,0.001171702,0
,,,,,,,,1,,,,,,,,,,,"Very convenient, but <Consumer> wish there was at least one HDMI on the <Product> itself.",Sentiment,0.973059952,Product,0.020194997,Other,0.003542277,Comparison,0.003202774,0
,,,,,,,,91,,,,,,,,,,,,,,,,,,,,66